IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.213.245,2053,0,TRUE,HK|香港,Asia Pacific,Hong Kong,16,15.06
47.242.125.241,8443,0,TRUE,HK|香港,Asia Pacific,Hong Kong,16,15.56
8.217.164.10,2096,2096,TRUE,HK|香港,Asia Pacific,Hong Kong,22,15.81
47.243.186.171,2053,2053,TRUE,HK|香港,Asia Pacific,Hong Kong,22,16.04
47.238.5.0,2083,2083,TRUE,HK|香港,Asia Pacific,Hong Kong,22,16.2
8.218.143.10,8443,8443,TRUE,HK|香港,Asia Pacific,Hong Kong,24,16.27
47.243.255.224,2087,0,TRUE,HK|香港,Asia Pacific,Hong Kong,14,17.11
163.53.246.105,25956,0,TRUE,HK|香港,Asia Pacific,Hong Kong,43,18.44
47.242.42.153,2087,2087,TRUE,HK|香港,Asia Pacific,Hong Kong,23,18.54
8.217.147.230,2096,2096,TRUE,HK|香港,Asia Pacific,Hong Kong,18,18.84
8.217.232.246,8443,8443,TRUE,HK|香港,Asia Pacific,Hong Kong,18,19.07
163.53.246.105,25950,0,TRUE,HK|香港,Asia Pacific,Hong Kong,41,19.15
47.243.26.83,8443,0,TRUE,HK|香港,Asia Pacific,Hong Kong,17,19.27
8.218.53.110,2083,0,TRUE,HK|香港,Asia Pacific,Hong Kong,16,19.32
8.210.207.214,2087,2087,TRUE,HK|香港,Asia Pacific,Hong Kong,20,19.53
8.218.1.163,2087,2087,TRUE,HK|香港,Asia Pacific,Hong Kong,20,19.65
8.210.63.130,2083,2083,TRUE,HK|香港,Asia Pacific,Hong Kong,24,20.54
47.243.255.224,8443,8443,TRUE,HK|香港,Asia Pacific,Hong Kong,18,21.47
8.210.42.171,2096,0,TRUE,HK|香港,Asia Pacific,Hong Kong,19,21.48
47.243.51.171,2083,2083,TRUE,HK|香港,Asia Pacific,Hong Kong,23,21.67
8.210.48.107,2096,2096,TRUE,HK|香港,Asia Pacific,Hong Kong,24,21.75
163.53.246.105,25930,443,TRUE,HK|香港,Asia Pacific,Hong Kong,65,21.75
163.53.246.105,25953,443,TRUE,HK|香港,Asia Pacific,Hong Kong,63,22.22
47.76.159.146,2096,0,TRUE,HK|香港,Asia Pacific,Hong Kong,18,22.25
8.210.42.171,8443,0,TRUE,HK|香港,Asia Pacific,Hong Kong,12,23.22
8.210.63.130,2053,2053,TRUE,HK|香港,Asia Pacific,Hong Kong,22,23.3
8.217.232.246,2053,2053,TRUE,HK|香港,Asia Pacific,Hong Kong,14,23.9
8.210.43.213,2087,2087,TRUE,HK|香港,Asia Pacific,Hong Kong,26,24.75
8.218.1.163,2096,0,TRUE,HK|香港,Asia Pacific,Hong Kong,16,25.24
47.243.255.224,2053,2053,TRUE,HK|香港,Asia Pacific,Hong Kong,22,25.31
47.243.70.186,2087,0,TRUE,HK|香港,Asia Pacific,Hong Kong,16,26.95
163.53.246.105,30387,443,TRUE,HK|香港,Asia Pacific,Hong Kong,60,27.81
8.210.43.213,2053,2053,TRUE,HK|香港,Asia Pacific,Hong Kong,30,28.72
47.243.60.150,8443,8443,TRUE,HK|香港,Asia Pacific,Hong Kong,23,30.95
37.128.253.18,34237,2096,TRUE,TW|臺灣,Asia Pacific,Taipei,217,5.4
141.11.87.105,34237,2096,TRUE,TW|臺灣,Asia Pacific,Taipei,224,7.57
37.128.253.196,34237,2096,TRUE,TW|臺灣,Asia Pacific,Taipei,225,7.67
141.11.86.86,34237,2096,TRUE,TW|臺灣,Asia Pacific,Taipei,191,8.47
154.16.55.129,443,443,TRUE,JP|東京,Asia Pacific,Tokyo,232,6.22
48.218.110.214,8443,443,TRUE,JP|東京,Asia Pacific,Tokyo,130,6.38
149.62.44.224,27054,443,TRUE,JP|東京,Asia Pacific,Tokyo,101,6.97
154.12.190.69,19834,443,TRUE,JP|東京,Asia Pacific,Tokyo,100,7.46
140.83.37.223,443,0,TRUE,JP|東京,Asia Pacific,Tokyo,198,7.86
54.238.112.33,443,443,TRUE,JP|東京,Asia Pacific,Tokyo,59,9.58
103.117.102.7,45454,443,TRUE,JP|東京,Asia Pacific,Tokyo,102,10.6
